Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end
ToDelete - HAM5011 ~ Hampton Inn - Midland ~ REPID11,5011 W Loop 250 N,Midland,TX,79707-3163,32.02105,-102.15172,30,8:00,17:00
ToDelete - COU920 ~ Country Inn & Suites - Midland ~ REPID11,920 W Interstate 20,Midland,TX,79701-2001,31.97305,-102.0782,30,8:00,17:00
ToDelete - UNIRANGER ~ Ranger College ~ REPID11,1100 College,Ranger,TX,76470,32.4589,-98.6824,30,8:00,17:00
ToDelete - SLE3225 ~ Sleep Inn - Abilene ~ REPID11,3225 S Danville Dr,Abilene,TX,79605,32.41169,-99.77194,30,8:00,17:00
ToDelete - HAM805 ~ Hampton Inn - Big Spring ~ REPID11,805 W Interstate 20,Big Spring,TX,79720-0007,32.2634,-101.49315,30,8:00,17:00
ToDelete - HAM2959 ~ Hampton Inn - San Angelo ~ REPID11,2959 Loop 306,San Angelo,TX,76904-6504,31.41926,-100.48445,30,8:00,17:00
ToDelete - ECO4801 ~ EconoLodge-Lubbock ~ REPID11,4801 Avenue Q,Lubbock,TX,79412-2209,33.55013,-101.85468,30,8:00,17:00
ToDelete - COU5806 ~ Country Inn & Suites-Lubbock ~ REPID11,5806 Interstate 27,Lubbock,TX,79404-5100,33.54102,-101.84715,30,8:00,17:00
ToDelete - STA2515 ~ Staybridge Suites-Lubbock ~ REPID11,2515 19th St,Lubbock,TX,79410,33.57744,-101.87177,30,8:00,17:00
ToDelete - SUP119D ~ Super 8 -Dumus ~ REPID11,119 W 17th,Dumus,TX,79029,35.84628,-101.97423,30,8:00,17:00
ToDelete - DEN3314 ~ Denny's #8802-Abilene ~ REPID11,3314 S Clack St,Abilene,TX,79606-2207,32.41326,-99.77722,30,8:00,17:00
ToDelete - COM5828 ~ Comfort Inn & Suites-Lubbock ~ REPID11,5828 Interstate 27,Lubbock,TX,79404-5100,33.54028,-101.84624,30,8:00,17:00
ToDelete - DEN100 ~ Denny's -Pecos ~ REPID11,100 E Pinehurst St,Pecos,TX,79772-7034,29.96696,-95.19151,30,8:00,17:00
ToDelete - TOW5310 ~ Towne Place Suites - Lubbock ~ REPID11,5310 W Loop 289,Lubbock,TX,79424-1142,33.54472,-101.9369,30,8:00,17:00
ToDelete - STA701 ~ Stay Express Inn & Suites - Sweetwater ~ REPID11,701 SW Georgia,Sweetwater,TX,79556,32.44744,-100.41039,30,8:00,17:00
ToDelete - SUP1525E ~ Super 8 - Abilene ~ REPID11,1525 E Stanford St,Abilene,TX,79601,32.47538,-99.69894,30,8:00,17:00
ToDelete - QUA1308 ~ Quality Inn - Fort Stockton ~ REPID11,1308 N US Highway 285,Fort Stockton,TX,79735-4409,30.89824,-102.9037,30,8:00,17:00
ToDelete - BES131 ~ Best Western   Swiss Clock Inn ~ REPID11,131 S Frontage Rd,Pecos,TX,79772-7202,31.39609,-103.50455,30,8:00,17:00
ToDelete - ECO123 ~ EconoLodge - Dalhart ~ REPID11,123 Liberal St,Dalhart,TX,79022-2732,36.06571,-102.52176,30,8:00,17:00
ToDelete - DEN5114 ~ Denny's - Hobbs ~ REPID11,5114 N Lovington Hwy,Hobbs,NM,88240-9112,32.75811,-103.17758,30,8:00,17:00
ToDelete - COM12W ~ Comfort Suites - Amarillo ~ REPID11,12 Western Plaza Dr,Amarillo,TX,79109-1569,35.18895,-101.8801,30,8:00,17:00
ToDelete - TOW5508 ~ Towne Place Suites - Midland ~ REPID11,5508 Deauville,Midland,TX,79706-2929,31.99204,-102.15459,30,8:00,17:00
ToDelete - HOT100E ~ Hotel El Capitan - Van Horn ~ REPID11,100 E Broadway,Van Horn,TX,79855,31.03956,-104.83079,30,8:00,17:00
ToDelete - DAY2102 ~ Days Inn - Amarillo ~ REPID11,2102 S Coulter St,Amarillo,TX,79106-2514,35.18963,-101.92145,30,8:00,17:00
ToDelete - BES300NW ~ Best Western Plus Sweetwater Inn ~ REPID11,300 NW Georgia Ave,Sweetwater,TX,79556-7856,32.45089,-100.40123,30,8:00,17:00
ToDelete - SUP4397 ~ Super 8 - Abilene ~ REPID11,4397 Sayles Blvd,Abilene,TX,79605-7244,32.3976,-99.75056,30,8:00,17:00
ToDelete - FAI3902T ~ Fairfield Inn & Suites - Abilene ~ REPID11,3902 Turner Plz,Abilene,TX,79606-2752,32.40415,-99.76467,30,8:00,17:00
ToDelete - FAI1740 ~ Fairfield Inn & Suites - Amarillo ~ REPID11,1740 Airport Blvd,Amarillo,TX,79118-6978,35.19423,-101.72597,30,8:00,17:00
ToDelete - LEG2210 ~ Legacy Inn ~ REPID11,2210 W Main St,Artesia,NM,88210-3720,32.84263,-104.42484,30,8:00,17:00
ToDelete - ECO3706 ~ EconoLodge - Carlsbad ~ REPID11,3706 National Pkwy,Carlsbad,NM,88220,32.42067,-104.22884,30,8:00,17:00
ToDelete - HAM3923 ~ Hampton Inn & Suites - Odessa ~ REPID11,3923 John Ben Shepperd Pkwy,Odessa,TX,79762-8129,31.88897,-102.33334,30,8:00,17:00
ToDelete - HAM1103 ~ Hampton Inn & Suites - Brownwood ~ REPID11,1103 Riverside Dr,Brownwood,TX,76801-8246,31.72845,-98.97701,30,8:00,17:00
ToDelete - ECO1719 ~ EconoLodge - Dumas ~ REPID11,1719 S Dumas Ave,Dumas,TX,79029-5527,35.84587,-101.97338,30,8:00,17:00
ToDelete - HIL117 ~ Hilton Midland Plaza Doubletree ~ REPID11,117 W Wall St,Midland,TX,79701-5246,31.99698,-102.07524,30,8:00,17:00
ToDelete - HAM1921 ~ Hampton Inn & Suites - Van Horn ~ REPID11,1921 SW Frontage Rd,Van Horn,TX,79855,31.03438,-104.86114,30,8:00,17:00
ToDelete - HAM4003 ~ Hampton Inn - Lubbock ~ REPID11,4003 S Loop 289,Lubbock,TX,79423-1131,33.52737,-101.89884,30,8:00,17:00
ToDelete - UST2429 ~ U.S. Travelers Inn & Suites ~ REPID11,2429 W Pierce St,Carlsbad,NM,88220,32.44091,-104.25858,30,8:00,17:00
ToDelete - HAM2010S ~ Hampton Inn & Suites - Dumas ~ REPID11,2010 S Dumas Ave,Dumas,TX,79029-6100,35.83979,-101.97435,30,8:00,17:00
ToDelete - DAY1701I ~ Days Inn Amarillo East ~ REPID11,1701 I-40E,Amarillo,TX,79102,35.19328,-101.81937,30,8:00,17:00
ToDelete - BES202 ~ Best Western Nursanickel ~ REPID11,102 Scott Ave,Dalhart,TX,79022,36.06474,-102.5198,30,8:00,17:00
ToDelete - LON2233 ~ Hotel Texas ~ REPID11,2233 Vine St,Colorado City,TX,79512-3246,32.41055,-100.86278,30,8:00,17:00
ToDelete - COB1318 ~ Cobblestone Suites ~ REPID11,1318 East US Hwy 67,Big Lake,TX,76932,31.19122,-101.45134,30,8:00,17:00
ToDelete - ZIA3901 ~ Zia Park Casino Hotel and Race Track ~ REPID11,3901 W Millen Dr,Hobbs,NM,88240-9106,32.75156,-103.18606,30,8:00,17:00
ToDelete - DAY2700E ~ Days Inn & Suites ~ REPID11,2700 Mabry Dr,Clovis,NM,88101-8375,34.3965,-103.17043,30,8:00,17:00
ToDelete - WES1000 ~ West Texas Inn & Suites ~ REPID11,1000 West I-20,Midland,TX,79701,31.97234,-102.07864,30,8:00,17:00
ToDelete - RAN5800 ~ Randall High school/West cafeteria - Aramark ~ REPID11,5800 Attebury Dr,Amarillo,TX,79118-5005,35.11332321,-101.8998337,30,8:00,17:00
ToDelete - BOR900 ~ Borger Ambassador Inn ~ REPID11,900 E 3rd St,Borger,TX,79007-5500,35.66709518,-101.3799591,30,8:00,17:00
ToDelete - STA36 ~ Staybridge Suites - Amarillo ~ REPID11,36 Western Plaza,Amarillo,TX,79109,35.18796158,-101.882515,30,8:00,17:00
ToDelete - BES3017 ~ Best Western - San Angelo Hotel ~ REPID11,3017 Loop 306,San Angelo,TX,76904-6435,31.43380165,-100.3734818,30,8:00,17:00
ToDelete - QUA4002S ~ Quality Inn - Pecos ~ REPID11,4002 S Cedar St,Pecos,TX,79772-8103,31.40584183,-103.4839935,30,8:00,17:00
ToDelete - RED1620 ~ Red Roof Inn-Amarillo ~ REPID11,1620 E Interstate 40,Amarillo,TX,79103-2117,35.19126511,-101.8200073,30,8:00,17:00
ToDelete - TEX1801 ~ Texan Inn ~ REPID11,1801 W Dickinson Blvd,Fort Stockton,TX,79735-4216,30.89390182,-102.8984375,30,8:00,17:00
ToDelete - ATR1305 ~ Atrium Inn - Fort Stockton ~ REPID11,1305 N US Highway 285,Fort Stockton,TX,79735-4412,30.89693,-102.9043,30,8:00,17:00
ToDelete - BES2600H ~ Best Western   Littlefield Inn & Suites ~ REPID11,2600 Hall Ave,Littlefield,TX,79339-5645,33.90103531,-102.3267059,30,8:00,17:00
