Alias,Address,City,State,Zip,Lat,Lng,Time,Time_window_start,Time_window_end,
ToDelete - PAR2110 ~ Partridge Inn ~ REPID3503,2110 Walton Way,Augusta,GA,30904-6905,33.47522,-82.01002,30,8:00,17:00,
ToDelete - SUP4494 ~ Super 8 ~ REPID3503,4494 US Highway 17,Richmond Hill,GA,31324-3344,31.94617,-81.31384,30,8:00,17:00,
ToDelete - BON2740 ~ Bonna Bella Yacht Club ~ REPID3503,2740 Livingston Ave,Savannah,GA,31406-2355,32.01363,-81.05946,30,8:00,17:00,
ToDelete - WGA-DEN3026 ~ Denny's #7350-AUGUSTA ~ REPID3503,3026 WASHINGTON RD,AUGUSTA,GA,30907,33.5116,-82.04697,30,8:00,17:00,
ToDelete - WGA-DEN2990 ~ Denny's #8609-BRUNSWICK ~ REPID3503,2990 US HWY 17 SOUTH,BRUNSWICK,GA,31523,31.13981,-81.57825,30,8:00,17:00,
ToDelete - WGA-DEN3944 ~ Denny's #6893-RICHMOND HILL ~ REPID3503,3944 HIGHWAY 17 S,RICHMOND HILL,GA,31324,31.93086,-81.32784,30,8:00,17:00,
ToDelete - WGA-DEN1 ~ Denny's #6594 - Savannah ~ REPID3503,1 Gateway Blvd,Savannah,GA,31419,32.00563,-81.28066,30,8:00,17:00,
ToDelete - WGA-DEN6801 ~ Denny's #7089-SAVANNAH ~ REPID3503,6801 ABERCORN ST,SAVANNAH,GA,31405,32.01535,-81.11334,30,8:00,17:00,
ToDelete - HAM102RE ~ Hampton Inn - Kingstand ~ REPID3503,102 Reddick Rd,Kingsland,GA,31548-5442,30.79996,-81.68983,30,8:00,17:00,
ToDelete - DAY12885 ~ Days Inn - Darien ~ REPID3503,12885 GA Highway 251,Darien,GA,31305-3640,31.40051,-81.45142,30,8:00,17:00,
ToDelete - COM630 ~ Comfort Suites Historic District ~ REPID3503,630 W Bay St,Savannah,GA,31401-1119,32.08413,-81.10036,30,8:00,17:00,
ToDelete - CLA404 ~ Clary's Cafe ~ REPID3503,404 Abercorn St,Savannah,GA,31401-4713,32.07164,-81.09203,30,8:00,17:00,
ToDelete - SUP1J ~ Super 8 Statesboro ~ REPID3503,1 Jameson Ave,Statesboro,GA,30458,32.42702,-81.78896,30,8:00,17:00,
ToDelete - AME706 ~ America's Best Value Inn ~ REPID3503,706 E Oglethorpe Hwy,Hinesville,GA,31313-2808,31.85225,-81.58431,30,8:00,17:00,
ToDelete - HBS15 ~ H & B Services ~ REPID3503,15th Street & 108 Terrace Building,Ft Gordon,GA,30905,33.40884,-82.17302,30,8:00,17:00,
ToDelete - HOW5323 ~ Howard Johnson ~ REPID3503,5323 New Jesup Hwy,Brunswick,GA,31523-1215,31.22378,-81.52625,30,8:00,17:00,
ToDelete - SUP5280 ~ Super 8 ~ REPID3503,5280 New Jesup Hwy,Brunswick,GA,31523-1211,31.22333,-81.52409,30,8:00,17:00,
ToDelete - FAI10 ~ Fairfield Inn & Suites Savannah Airport ~ REPID3503,10 Stephen S Green Dr,Savannah,GA,31408-8020,32.13974,-81.23661,30,8:00,17:00,
ToDelete - MIC2909 ~ Microtel Inn ~ REPID3503,2909 Riverwest Dr,Augusta,GA,30907-2025,33.52508,-82.03581,30,8:00,17:00,
ToDelete - DAY300 ~ Days Inn Brunswick ~ REPID3503,300 Warner Mason Blvd,Brunswick,GA,31520,31.21778,-81.522,30,8:00,17:00,
ToDelete - QUA1052 ~ Quality Inn - Augusta ~ REPID3503,1052 Claussen Rd,Augusta,GA,30907-3206,33.51685,-82.04017,30,8:00,17:00,
